Stages,C_Pt_in [M],C_Pd_in [M],C_Rh_in [M],q_Pt_in [mol PGM/mol ddFc],q_Pd_in [mol PGM/mol ddFc],q_Rh_in [mol PGM/mol ddFc],C_Pt_out [M],C_Pd_out [M],C_Rh_out [M],q_Pt_out [mol PGM/mol ligand],q_Pd_out [mol PGM/mol ligand],q_Rh_out [mol PGM/mol ligand],Material Residual Pt [mol PGM/time],Material Residual Pd [mol PGM/time],Material Residual Rh [mol PGM/time],Q_org [L/time],Rh Recovery [%],PPM Mass Total [mg/L],Rh Relative Purity [%],Q_aq [L/time],C_lig [L/time],Q_aq/(Q_org*C_lig) [1/M],Max Sales Rh [$Rh/L feed basis]
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.630035885023225e-05,7.447485960713543e-07,0.00032385704147932495,0.08072710927975299,0.08155048494401779,0.0009889784899546504,-9.75781955236954e-17,1.945058697438995e-16,-4.3164798992079145e-18,0.18892482409907463,94.54539971849161,500,95,1,0.1,52.93110658002185,5.497345723284202
4,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.72089609112877e-05,2.876878481832443e-07,0.0003324363264299464,0.10920586178936212,0.11041821555344994,0.0007239882570300988,-2.168404344971009e-18,2.3635607360183997e-17,-7.453889935837843e-20,0.13957372480144073,97.04999841812226,500,95,1,0.1,71.64672300768731,5.64297570624428
5,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7558377832426096e-05,1.0506364496466984e-07,0.0003356053875728011,0.12557893497872497,0.1270172189923524,0.0005715712298295792,-1.8800065670898647e-16,-6.235463534398633e-15,-1.517036008532452e-18,0.12134817621653472,97.97516018429822,500,95,1,0.1,82.40750138803828,5.696769270963207
6,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.769389343164309e-05,3.7175600603836196e-08,0.0003368903103287264,0.13371011882972395,0.1352595163291302,0.0004958808964228884,-1.7288687842453854e-14,-1.0596126840539677e-12,-9.659563730488041e-18,0.1139586121710529,98.35027488000291,500,95,1,0.1,87.7511564022025,5.7185803286594385
7,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7744466230058305e-05,1.2927742824924865e-08,0.00033739048286900684,0.13716795306346566,0.13876420730767747,0.0004636943396946092,-1.1037178115902435e-16,-5.3700533603207035e-15,-3.4304834363799164e-19,0.111082169753281,98.49629305065322,500,95,1,0.1,90.02344860755326,5.7270705605304375
8,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7762434284205823e-05,4.4591984978446e-09,0.0003375709761711422,0.13846015972746062,0.14007387303476232,0.0004516662508191698,-2.6107588313450947e-16,-1.1852498149611534e-14,-2.524158182817815e-19,0.11004417585793183,98.5489854711081,500,95,1,0.1,90.87259659166426,5.730134363244261
9,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7768596981705528e-05,1.5331283704498118e-09,0.00033763247208936617,0.13890601070001563,0.14052575540227805,0.00044751616793740613,-5.0090140368830305e-17,-6.2343793322261476e-15,1.7787691892340307e-20,0.10969051996097089,98.56693831889235,500,95,1,0.1,91.16558116014139,5.731178232235047
10,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7770671970930164e-05,5.264948863116203e-10,0.0003376527917786969,0.13905396020919253,0.1406757135605017,0.00044613899794023094,-1.6046192152785466e-16,-5.983191372904706e-14,-6.691560283308973e-20,0.10957366310586024,98.57287035958893,500,95,1,0.1,91.26280637655506,5.731523150958229
11,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.777136735986175e-05,1.8081057367328835e-10,0.00033765941525589724,0.13910225328518563,0.14072466572308717,0.0004456894572035514,-8.033938098117588e-16,-8.401977030780827e-13,-2.261577969168982e-19,0.10953557168033001,98.5748039883795,500,95,1,0.1,91.29454337613835,5.731635581874952
12,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7771599281349425e-05,6.311373232248897e-11,0.0003376615624809016,0.13911791568267942,0.1407405439217161,0.0004455436560002661,-4.764634867204798e-15,-1.1300289697036003e-11,-4.675621868843738e-19,0.1095232230994143,98.57543083979948,500,95,1,0.1,91.30483670045935,5.7316720301736845
