Stages,C_Pt_in [M],C_Pd_in [M],C_Rh_in [M],q_Pt_in [mol PGM/mol ddFc],q_Pd_in [mol PGM/mol ddFc],q_Rh_in [mol PGM/mol ddFc],C_Pt_out [M],C_Pd_out [M],C_Rh_out [M],q_Pt_out [mol PGM/mol ligand],q_Pd_out [mol PGM/mol ligand],q_Rh_out [mol PGM/mol ligand],Q_org [L/time],Rh Recovery [%],PPM Mass Total [mg/L],Rh Relative Purity [%],Q_aq [L/time],C_lig [L/time],Q_aq/(Q_org*C_lig) [1/M]
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.3172917780381706e-11,4.44062475241565e-15,1.1503513770328685e-10,7.053494889632065e-11,1.011068802714765e-12,1.8087684197601197e-10,913.803296687762,3.3582851946491664e-05,500,95,1,0.1,0.010943274155659898
4,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,3.3432874736938903e-13,1.2063922082073983e-15,4.0453488513474005e-12,1.790177685600998e-12,2.7467883807862206e-13,6.360752137008966e-12,609.2021977918413,1.180981344127414e-06,500,95,1,0.1,0.016414911233489846
5,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.1420955184129306e-13,7.162553923670203e-16,4.2193353789235397e-14,6.115399693258388e-13,1.630814575056445e-13,6.634321935947125e-14,609.3139881406173,1.2317742054472707e-08,500,95,1,0.1,0.016411899602889475
6,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.510835709464545e-13,7.185171117979041e-16,4.407783971626468e-16,8.089834944190556e-13,1.6359641977775374e-13,6.930631311912553e-16,609.2542387482785,1.2867890584271558e-10,500,95,1,0.1,0.016413509113281086
7,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.0990493468291403e-13,7.911792625737693e-16,1.5285458588496864e-16,5.884907111855677e-13,1.801405876571658e-13,2.403427177773912e-16,92003.9216751113,4.462369524307985e-11,500,95,1,0.1,0.00010869101901234692
8,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,8.634057465373927e-15,3.647900768237338e-17,1.6761075221478358e-17,4.623143294730097e-14,8.305766078697777e-15,2.6354475061392062e-17,20264.678739405605,4.893154551427416e-12,500,95,1,0.1,0.0004934694563183248
9,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,4.1371963347943465e-15,2.647903140725524e-17,6.326584678897225e-18,2.215279614586534e-14,6.02890963412121e-15,9.947680321268482e-18,23343.698840071604,1.8469552941846684e-12,500,95,1,0.1,0.0004283811262521122
10,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.707103967315149e-14,7.055461748128675e-17,2.3507216668793584e-17,9.140761793086771e-14,1.6064311663095802e-14,3.696185043457358e-17,23288.388929811605,6.862593402534255e-12,500,95,1,0.1,0.0004293985311795846
11,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,3.364317744246017e-15,1.5595841882411012e-17,6.64026556107299e-18,1.8014384410867565e-14,3.550957734479619e-15,1.044090017007607e-17,24780.011722742325,1.93852991073118e-12,500,95,1,0.1,0.00040355106009987515
12,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,7.269798795800609e-18,3.570484793976992e-20,1.1828704895699856e-20,3.8926451082489747e-17,8.12950060062232e-18,1.8599004184624633e-20,24793.043374168567,3.4532200609490743e-15,500,95,1,0.1,0.0004033389466990092
