PGM Ligand Pair,Parameter,Value,Standard Error,Margin of Error 95.0% Confidence
Pt_ddFc,q_max [mol PGM/mol Ligand],0.28318429382522264,0.011081502786373494,0.023940131286186384
Pt_ddFc,K_eq [~],1822.2107908876987,311.5347288176628,673.0298635373142
Pd_ddFc,q_max [mol PGM/mol Ligand],0.5694564291619704,0.010268052502075457,0.02218277878839816
Pd_ddFc,K_eq [~],2662.6059073104934,183.08901127604832,395.5397613035374
Ir_ddFc,q_max [mol PGM/mol Ligand],0.6116778353593803,0.03687613080415098,0.08503651012470188
Ir_ddFc,K_eq [~],950.3486573141286,303.2978470444568,699.4060894830379
Rh_ddFc,q_max [mol PGM/mol Ligand],0.0037698628972227533,0.0005943225167249422,0.0014053494363154564
Rh_ddFc,K_eq [~],2401.5030938442774,2366.5254263792217,5595.9434152272615
Pt_deFc,q_max [mol PGM/mol Ligand],0.2725713562257735,0.015402195398201559,0.03484218664285921
Pt_deFc,K_eq [~],349.54054401957274,70.70543570402714,159.94680782663292
Ir_deFc,q_max [mol PGM/mol Ligand],0.40945384114015493,0.011645939329015335,0.02685558425104619
Ir_deFc,K_eq [~],950.3304003380522,97.4679168162941,224.76141922810987
Rh_deFc,q_max [mol PGM/mol Ligand],0.0031092147446044327,0.000504144240582927,0.00114045350491813
Rh_deFc,K_eq [~],369.0209985291953,218.42550075067254,494.11281106091855
Pt_coeFc,q_max [mol PGM/mol Ligand],0.01877501610214439,0.0007199394740729926,0.0015553346743375997
Pt_coeFc,K_eq [~],285.195061631053,35.73767689542394,77.20655701966835
Pd_coeFc,q_max [mol PGM/mol Ligand],0.10492961054960162,0.002206887280052294,0.004992325868058545
Pd_coeFc,K_eq [~],2169.8945390359245,168.3681924460467,380.87531252921116
Rh_coeFc,q_max [mol PGM/mol Ligand],0.0018146312873727664,0.00021416149217723585,0.0004713662661451777
Rh_coeFc,K_eq [~],866.4776824454931,427.89103012824415,941.7818074485897
